"id","codigo","opc","categoria","sub_categoria","descricao","restrito_sexo","campos_rad","estadio","repete_rad"
3967,"I68","*","S","N","I68   Transt cerebrovasculares em doenc COP","5","000","N","N"
3968,"I680","*","N","S","I68.0 Angiopatia cerebral amiloidotica","5","000","N","N"
3969,"I681","*","N","S","I68.1 Arterite cerebral em doenc infecc e parasit","5","000","N","N"
3970,"I682","*","N","S","I68.2 Arterite cerebral em outr doenc COP","5","000","N","N"
3971,"I688","*","N","S","I68.8 Outr transt cerebrovasculares em doenc COP","5","000","N","N"
3972,"I69",,"S","N","I69   Sequelas de doenc cerebrovasculares","5","000","N","N"
3973,"I690",,"N","S","I69.0 Sequelas de hemorragia subaranoidea","5","000","N","N"
3974,"I691",,"N","S","I69.1 Sequelas de hemorragia intracerebral","5","000","N","N"
3975,"I692",,"N","S","I69.2 Sequelas outr hemorrag intracran nao traum","5","000","N","N"
3976,"I693",,"N","S","I69.3 Sequelas de infarto cerebral","5","000","N","N"
3977,"I694",,"N","S","I69.4 Sequelas acid vasc cerebr NE c/hemorr isquem","5","000","N","N"
3978,"I698",,"N","S","I69.8 Sequelas outr doenc cerebrovasculares e NE","5","000","N","N"
3979,"I70",,"S","N","I70   Aterosclerose","5","000","N","N"
3980,"I700",,"N","S","I70.0 Aterosclerose da aorta","5","000","N","N"
3981,"I701",,"N","S","I70.1 Aterosclerose da arteria renal","5","000","N","N"
3982,"I702",,"N","S","I70.2 Aterosclerose das arterias das extremidades","5","000","N","N"
3983,"I708",,"N","S","I70.8 Aterosclerose de outr arterias","5","000","N","N"
3984,"I709",,"N","S","I70.9 Aterosclerose generalizada e a NE","5","000","N","N"
3985,"I71",,"S","N","I71   Aneurisma e disseccao da aorta","5","000","N","N"
3986,"I710",,"N","S","I71.0 Aneurisma dissecante da aorta","5","000","N","N"
3987,"I711",,"N","S","I71.1 Aneurisma da aorta toracica roto","5","000","N","N"
3988,"I712",,"N","S","I71.2 Aneurisma da aorta toracica s/mencao ruptura","5","000","N","N"
3989,"I713",,"N","S","I71.3 Aneurisma da aorta abdominal roto","5","000","N","N"
3990,"I714",,"N","S","I71.4 Aneurisma aorta abdominal s/mencao ruptura","5","000","N","N"
3991,"I715",,"N","S","I71.5 Aneurisma da aorta toraco-abdominal roto","5","000","N","N"
3992,"I716",,"N","S","I71.6 Aneurisma aorta toraco-abdom s/menc ruptura","5","000","N","N"
3993,"I718",,"N","S","I71.8 Aneurisma da aorta de localiz NE roto","5","000","N","N"
3994,"I719",,"N","S","I71.9 Aneurisma aortico local NE s/mencao ruptura","5","000","N","N"
3995,"I72",,"S","N","I72   Outr aneurismas","5","000","N","N"
3996,"I720",,"N","S","I72.0 Aneurisma da arteria carotida","5","000","N","N"
3997,"I721",,"N","S","I72.1 Aneurisma de arteria dos membros super","5","000","N","N"
3998,"I722",,"N","S","I72.2 Aneurisma da arteria renal","5","000","N","N"
3999,"I723",,"N","S","I72.3 Aneurisma de arteria iliaca","5","000","N","N"
4000,"I724",,"N","S","I72.4 Aneurisma de arteria dos membros infer","5","000","N","N"
4001,"I728",,"N","S","I72.8 Aneurisma de outr arterias espec","5","000","N","N"
4002,"I729",,"N","S","I72.9 Aneurisma de localiz NE","5","000","N","N"
4003,"I73",,"S","N","I73   Outr doenc vasculares perifericas","5","000","N","N"
4004,"I730",,"N","S","I73.0 Sindr de Raynaud","5","000","N","N"
4005,"I731",,"N","S","I73.1 Tromboangeite obliterante","5","000","N","N"
4006,"I738",,"N","S","I73.8 Outr doenc vasculares perifericas espec","5","000","N","N"
4007,"I739",,"N","S","I73.9 Doenc vasculares perifericas NE","5","000","N","N"
4008,"I74",,"S","N","I74   Embolia e trombose arteriais","5","000","N","N"
4009,"I740",,"N","S","I74.0 Embolia e trombose da aorta abdominal","5","000","N","N"
4010,"I741",,"N","S","I74.1 Embolia trombose outr porcoes da aorta e NE","5","000","N","N"
4011,"I742",,"N","S","I74.2 Embolia e trombose de arterias membros super","5","000","N","N"
4012,"I743",,"N","S","I74.3 Embolia e trombose de arterias membros infer","5","000","N","N"
4013,"I744",,"N","S","I74.4 Embolia e trombose de arterias membros NE","5","000","N","N"
4014,"I745",,"N","S","I74.5 Embolia e trombose da arteria iliaca","5","000","N","N"
4015,"I748",,"N","S","I74.8 Embolia e trombose de outr arterias","5","000","N","N"
4016,"I749",,"N","S","I74.9 Embolia e trombose de arteria NE","5","000","N","N"
4017,"I77",,"S","N","I77   Outr afeccoes das arterias e arteriolas","5","000","N","N"
4018,"I770",,"N","S","I77.0 Fistula arteriovenosa adquir","5","000","N","N"
4019,"I771",,"N","S","I77.1 Estenose de arteria","5","000","N","N"
4020,"I772",,"N","S","I77.2 Ruptura de arteria","5","000","N","N"
4021,"I773",,"N","S","I77.3 Displasia fibromuscular arterial","5","000","N","N"
4022,"I774",,"N","S","I77.4 Sindr de compressao da arteria celiaca","5","000","N","N"
4023,"I775",,"N","S","I77.5 Necrose de arteria","5","000","N","N"
4024,"I776",,"N","S","I77.6 Arterite NE","5","000","N","N"
4025,"I778",,"N","S","I77.8 Outr afeccoes espec arterias e arteriolas","5","000","N","N"
4026,"I779",,"N","S","I77.9 Afeccoes de arterias e arteriolas NE","5","000","N","N"
4027,"I78",,"S","N","I78   Doenc dos capilares","5","000","N","N"
4028,"I780",,"N","S","I78.0 Telangiectasia hemorragica hereditaria","5","000","N","N"
4029,"I781",,"N","S","I78.1 Nevo nao-neoplasico","5","000","N","N"
4030,"I788",,"N","S","I78.8 Outr doenc dos capilares","5","000","N","N"
4031,"I789",,"N","S","I78.9 Doenc NE dos capilares","5","000","N","N"
4032,"I79","*","S","N","I79   Transt arter arteriolas capilares doenc COP","5","000","N","N"
4033,"I790","*","N","S","I79.0 Aneurisma da aorta em doenc COP","5","000","N","N"
4034,"I791","*","N","S","I79.1 Aortite em doenc COP","5","000","N","N"
4035,"I792","*","N","S","I79.2 Angiopatia periferica em doenc COP","5","000","N","N"
4036,"I798","*","N","S","I79.8 Outr transt arter arteriolas capil doenc COP","5","000","N","N"
4037,"I80",,"S","N","I80   Flebite e tromboflebite","5","000","N","N"
4038,"I800",,"N","S","I80.0 Flebite tromboflebite vasos superf membr inf","5","000","N","N"
4039,"I801",,"N","S","I80.1 Flebite e tromboflebite da veia femural","5","000","N","N"
4040,"I802",,"N","S","I80.2 Flebite trombofleb outr vasos prof membr inf","5","000","N","N"
4041,"I803",,"N","S","I80.3 Flebite e tromboflebite dos membros infer NE","5","000","N","N"
4042,"I808",,"N","S","I80.8 Flebite e tromboflebite de outr localiz","5","000","N","N"
4043,"I809",,"N","S","I80.9 Flebite e tromboflebite de localiz NE","5","000","N","N"
4044,"I81",,"S","S","I81   Trombose da veia porta","5","000","N","N"
4045,"I82",,"S","N","I82   Outr embolia e trombose venosas","5","000","N","N"
4046,"I820",,"N","S","I82.0 Sindr de Budd-Chiari","5","000","N","N"
4047,"I821",,"N","S","I82.1 Tromboflebite migratoria","5","000","N","N"
4048,"I822",,"N","S","I82.2 Embolia e trombose de veia cava","5","000","N","N"
4049,"I823",,"N","S","I82.3 Embolia e trombose de veia renal","5","000","N","N"
4050,"I828",,"N","S","I82.8 Embolia e trombose de outr veias espec","5","000","N","N"
4051,"I829",,"N","S","I82.9 Embolia e trombose venosas de veia NE","5","000","N","N"
4052,"I83",,"S","N","I83   Varizes dos membros infer","5","000","N","N"
4053,"I830",,"N","S","I83.0 Varizes dos membros infer c/ulcera","5","000","N","N"
4054,"I831",,"N","S","I83.1 Varizes dos membros infer c/inflam","5","000","N","N"
4055,"I832",,"N","S","I83.2 Varizes membros infer c/ulcera e inflam","5","000","N","N"
4056,"I839",,"N","S","I83.9 Varizes membros infer s/ulcera ou inflam","5","000","N","N"
4057,"I84",,"S","N","I84   Hemorroidas","5","000","N","N"
4058,"I840",,"N","S","I84.0 Hemorroidas internas trombosadas","5","000","N","N"
4059,"I841",,"N","S","I84.1 Hemorroidas internas c/outr complic","5","000","N","N"
4060,"I842",,"N","S","I84.2 Hemorroidas internas s/complic","5","000","N","N"
4061,"I843",,"N","S","I84.3 Hemorroidas externas trombosadas","5","000","N","N"
4062,"I844",,"N","S","I84.4 Hemorroidas externas c/outr complic","5","000","N","N"
4063,"I845",,"N","S","I84.5 Hemorroidas externas s/complic","5","000","N","N"
4064,"I846",,"N","S","I84.6 Plicomas hemorroidarios residuais","5","000","N","N"
4065,"I847",,"N","S","I84.7 Hemorroidas trombosadas NE","5","000","N","N"
4066,"I848",,"N","S","I84.8 Hemorroidas NE c/outr complic","5","000","N","N"
4067,"I849",,"N","S","I84.9 Hemorroidas s/complic NE","5","000","N","N"
4068,"I85",,"S","N","I85   Varizes esofagianas","5","000","N","N"
4069,"I850",,"N","S","I85.0 Varizes esofagianas sangrantes","5","000","N","N"
4070,"I859",,"N","S","I85.9 Varizes esofagianas s/sangramento","5","000","N","N"
4071,"I86",,"S","N","I86   Varizes de outr localiz","5","000","N","N"
4072,"I860",,"N","S","I86.0 Varizes sublinguais","5","000","N","N"
4073,"I861",,"N","S","I86.1 Varizes escrotais","1","000","N","N"
4074,"I862",,"N","S","I86.2 Varizes pelvicas","5","000","N","N"
4075,"I863",,"N","S","I86.3 Varizes da vulva","3","000","N","N"
4076,"I864",,"N","S","I86.4 Varizes gastricas","5","000","N","N"
4077,"I868",,"N","S","I86.8 Varizes de outr localiz espec","5","000","N","N"
4078,"I87",,"S","N","I87   Outr transt das veias","5","000","N","N"
4079,"I870",,"N","S","I87.0 Sindr pos-flebite","5","000","N","N"
4080,"I871",,"N","S","I87.1 Compressao venosa","5","000","N","N"
4081,"I872",,"N","S","I87.2 Insuf venosa","5","000","N","N"
4082,"I878",,"N","S","I87.8 Outr transt venosos espec","5","000","N","N"
4083,"I879",,"N","S","I87.9 Transt venoso NE","5","000","N","N"
4084,"I88",,"S","N","I88   Linfadenite inespecifica","5","000","N","N"
4085,"I880",,"N","S","I88.0 Linfadenite mesenterica nao especifica","5","000","N","N"
4086,"I881",,"N","S","I88.1 Linfadenite cronica exceto a mesenterica","5","000","N","N"
4087,"I888",,"N","S","I88.8 Outr linfadenites inespecificas","5","000","N","N"
4088,"I889",,"N","S","I88.9 Linfadenite NE","5","000","N","N"
4089,"I89",,"S","N","I89   Outr transt nao-infecc vasos linf gangl linf","5","000","N","N"
4090,"I890",,"N","S","I89.0 Linfedema NCOP","5","000","N","N"
4091,"I891",,"N","S","I89.1 Linfangite","5","000","N","N"
4092,"I898",,"N","S","I89.8 Out transt n-inf espec vasos linf gangl linf","5","000","N","N"
4093,"I899",,"N","S","I89.9 Transt nao-infecc vasos linf gangl linf NE","5","000","N","N"
4094,"I95",,"S","N","I95   Hipotensao","5","000","N","N"
4095,"I950",,"N","S","I95.0 Hipotensao idiopatica","5","000","N","N"
4096,"I951",,"N","S","I95.1 Hipotensao ortostatica","5","000","N","N"
4097,"I952",,"N","S","I95.2 Hipotensao dev drogas","5","000","N","N"
4098,"I958",,"N","S","I95.8 Outr tipos de hipotensao","5","000","N","N"
4099,"I959",,"N","S","I95.9 Hipotensao NE","5","000","N","N"
4100,"I97",,"S","N","I97   Transt aparelho circulat subseq proced NCOP","5","000","N","N"
4101,"I970",,"N","S","I97.0 Sindr pos-cardiotomia","5","000","N","N"
4102,"I971",,"N","S","I97.1 Outr disturb func subseq cirurgia cardiaca","5","000","N","N"
4103,"I972",,"N","S","I97.2 Sindr do linfedema pos-mastectomia","5","000","N","N"
4104,"I978",,"N","S","I97.8 Outr transt ap circulat subseq proced NCOP","5","000","N","N"
4105,"I979",,"N","S","I97.9 Transt aparelho circulat subseq proced NE","5","000","N","N"
4106,"I98","*","S","N","I98   Outr transt aparelho circulatorio doenc COP","5","000","N","N"
4107,"I980","*","N","S","I98.0 Sifilis cardiovascular","5","000","N","N"
4108,"I981","*","N","S","I98.1 Transt cardiovasc outr doenc inf parasit COP","5","000","N","N"
4109,"I982","*","N","S","I98.2 Varizes esofagianas em doenc COP","5","000","N","N"
4110,"I988","*","N","S","I98.8 Outr transt espec ap circulat doenc COP","5","000","N","N"
4111,"I99",,"S","S","I99   Outr transt do aparelho circulatorio e os NE","5","000","N","N"
4112,"J00",,"S","S","J00   Nasofaringite aguda","5","000","N","N"
4113,"J01",,"S","N","J01   Sinusite aguda","5","000","N","N"
4114,"J010",,"N","S","J01.0 Sinusite maxilar aguda","5","000","N","N"
4115,"J011",,"N","S","J01.1 Sinusite frontal aguda","5","000","N","N"
4116,"J012",,"N","S","J01.2 Sinusite etmoidal aguda","5","000","N","N"
4117,"J013",,"N","S","J01.3 Sinusite esfenoidal aguda","5","000","N","N"
4118,"J014",,"N","S","J01.4 Pansinusite aguda","5","000","N","N"
4119,"J018",,"N","S","J01.8 Outr sinusites agudas","5","000","N","N"
4120,"J019",,"N","S","J01.9 Sinusite aguda NE","5","000","N","N"
4121,"J02",,"S","N","J02   Faringite aguda","5","000","N","N"
4122,"J020",,"N","S","J02.0 Faringite estreptococica","5","000","N","N"
4123,"J028",,"N","S","J02.8 Faringite aguda dev outr microorg espec","5","000","N","N"
4124,"J029",,"N","S","J02.9 Faringite aguda NE","5","000","N","N"
4125,"J03",,"S","N","J03   Amigdalite aguda","5","000","N","N"
4126,"J030",,"N","S","J03.0 Amigdalite estreptococica","5","000","N","N"
4127,"J038",,"N","S","J03.8 Amigdalite aguda dev outr microorg espec","5","000","N","N"
4128,"J039",,"N","S","J03.9 Amigdalite aguda NE","5","000","N","N"
4129,"J04",,"S","N","J04   Laringite e traqueite agudas","5","000","N","N"
4130,"J040",,"N","S","J04.0 Laringite aguda","5","000","N","N"
4131,"J041",,"N","S","J04.1 Traqueite aguda","5","000","N","N"
4132,"J042",,"N","S","J04.2 Laringotraqueite aguda","5","000","N","N"
4133,"J05",,"S","N","J05   Laringite obstrutiva aguda e epiglotite","5","000","N","N"
4134,"J050",,"N","S","J05.0 Laringite obstrutiva aguda","5","000","N","N"
4135,"J051",,"N","S","J05.1 Epiglotite aguda","5","000","N","N"
4136,"J06",,"S","N","J06   Infecc agudas vias aereas super loc mult NE","5","000","N","N"
4137,"J060",,"N","S","J06.0 Laringofaringite aguda","5","000","N","N"
4138,"J068",,"N","S","J06.8 Outr infecc agudas vias aereas sup loc mult","5","000","N","N"
4139,"J069",,"N","S","J06.9 Infecc aguda das vias aereas super NE","5","000","N","N"
4140,"J10",,"S","N","J10   Influenza dev virus influenza identificado","5","000","N","N"
4141,"J100",,"N","S","J10.0 Influenza c/pneum dev virus influenza ident","5","000","N","N"
4142,"J101",,"N","S","J10.1 Influenz c/out manif resp dev vir infl ident","5","000","N","N"
4143,"J108",,"N","S","J10.8 Influenza c/outr manif dev virus infl ident","5","000","N","N"
4144,"J11",,"S","N","J11   Influenza dev virus nao identificado","5","000","N","N"
4145,"J110",,"N","S","J11.0 Influenza c/pneumonia dev virus nao ident","5","000","N","N"
4146,"J111",,"N","S","J11.1 Influenza c/out manif resp dev virus n ident","5","000","N","N"
4147,"J118",,"N","S","J11.8 Influenza c/outr manif dev virus nao ident","5","000","N","N"
4148,"J12",,"S","N","J12   Pneumonia viral NCOP","5","000","N","N"
4149,"J120",,"N","S","J12.0 Pneumonia dev adenovirus","5","000","N","N"
4150,"J121",,"N","S","J12.1 Pneumonia dev virus respirat sincicial","5","000","N","N"
4151,"J122",,"N","S","J12.2 Pneumonia dev parainfluenza","5","000","N","N"
4152,"J128",,"N","S","J12.8 Outr pneumonias virais","5","000","N","N"
4153,"J129",,"N","S","J12.9 Pneumonia viral NE","5","000","N","N"
4154,"J13",,"S","S","J13   Pneumonia dev Streptococcus pneumoniae","5","000","N","N"
4155,"J14",,"S","S","J14   Pneumonia dev Haemophilus infuenzae","5","000","N","N"
4156,"J15",,"S","N","J15   Pneumonia bacter NCOP","5","000","N","N"
4157,"J150",,"N","S","J15.0 Pneumonia dev Klebsiella pneumoniae","5","000","N","N"
4158,"J151",,"N","S","J15.1 Pneumonia dev Pseudomonas","5","000","N","N"
4159,"J152",,"N","S","J15.2 Pneumonia dev Staphylococcus","5","000","N","N"
4160,"J153",,"N","S","J15.3 Pneumonia dev Streptococcus do grupo B","5","000","N","N"
4161,"J154",,"N","S","J15.4 Pneumonia dev outr estreptococos","5","000","N","N"
4162,"J155",,"N","S","J15.5 Pneumonia dev Escherichia coli","5","000","N","N"
4163,"J156",,"N","S","J15.6 Pneumonia dev outr bact aerobicas gram-neg","5","000","N","N"
4164,"J157",,"N","S","J15.7 Pneumonia dev Mycoplasma pneumoniae","5","000","N","N"
4165,"J158",,"N","S","J15.8 Outr pneumonias bacter","5","000","N","N"
4166,"J159",,"N","S","J15.9 Pneumonia bacter NE","5","000","N","N"
4167,"J16",,"S","N","J16   Pneumonia dev out microorg infecc espec NCOP","5","000","N","N"
4168,"J160",,"N","S","J16.0 Pneumonia dev clamidias","5","000","N","N"
4169,"J168",,"N","S","J16.8 Pneumonia dev outr microorg infecc espec","5","000","N","N"
4170,"J17","*","S","N","J17   Pneumonia em doenc COP","5","000","N","N"
4171,"J170","*","N","S","J17.0 Pneumonia em doenc bacter COP","5","000","N","N"
4172,"J171","*","N","S","J17.1 Pneumonia em doenc virais COP","5","000","N","N"
4173,"J172","*","N","S","J17.2 Pneumonia em micoses COP","5","000","N","N"
4174,"J173","*","N","S","J17.3 Pneumonia em doenc parasit COP","5","000","N","N"
4175,"J178","*","N","S","J17.8 Pneumonia em outr doenc COP","5","000","N","N"
4176,"J18",,"S","N","J18   Pneumonia p/microorg NE","5","000","N","N"
4177,"J180",,"N","S","J18.0 Broncopneumonia NE","5","000","N","N"
4178,"J181",,"N","S","J18.1 Pneumonia lobar NE","5","000","N","N"
4179,"J182",,"N","S","J18.2 Pneumonia hipostatica NE","5","000","N","N"
4180,"J188",,"N","S","J18.8 Outr pneumonias dev microorg NE","5","000","N","N"
4181,"J189",,"N","S","J18.9 Pneumonia NE","5","000","N","N"
4182,"J20",,"S","N","J20   Bronquite aguda","5","000","N","N"
4183,"J200",,"N","S","J20.0 Bronquite aguda dev Mycoplasma pneumoniae","5","000","N","N"
4184,"J201",,"N","S","J20.1 Bronquite aguda dev Haemophilus influenzae","5","000","N","N"
4185,"J202",,"N","S","J20.2 Bronquite aguda dev estreptococos","5","000","N","N"
4186,"J203",,"N","S","J20.3 Bronquite aguda dev virus Coxsackie","5","000","N","N"
4187,"J204",,"N","S","J20.4 Bronquite aguda dev virus parainfluenza","5","000","N","N"
4188,"J205",,"N","S","J20.5 Bronquite aguda dev virus sincicial respirat","5","000","N","N"
4189,"J206",,"N","S","J20.6 Bronquite aguda dev rinovirus","5","000","N","N"
4190,"J207",,"N","S","J20.7 Bronquite aguda dev echovirus","5","000","N","N"
4191,"J208",,"N","S","J20.8 Bronquite aguda dev outr microorg espec","5","000","N","N"
4192,"J209",,"N","S","J20.9 Bronquite aguda NE","5","000","N","N"
4193,"J21",,"S","N","J21   Bronquiolite aguda","5","000","N","N"
4194,"J210",,"N","S","J21.0 Bronquiolite aguda dev virus sincicial resp","5","000","N","N"
4195,"J218",,"N","S","J21.8 Bronquiolite aguda dev outr microorg espec","5","000","N","N"
4196,"J219",,"N","S","J21.9 Bronquite aguda NE","5","000","N","N"
4197,"J22",,"S","S","J22   Infecc agudas NE das vias aereas infer","5","000","N","N"
4198,"J30",,"S","N","J30   Rinite alergica e vasomotora","5","000","N","N"
4199,"J300",,"N","S","J30.0 Rinite vasomotora","5","000","N","N"
4200,"J301",,"N","S","J30.1 Rinite alergica dev polen","5","000","N","N"
4201,"J302",,"N","S","J30.2 Outr rinites alergicas sazonais","5","000","N","N"
4202,"J303",,"N","S","J30.3 Outr rinites alergicas","5","000","N","N"
4203,"J304",,"N","S","J30.4 Rinite alergica NE","5","000","N","N"
4204,"J31",,"S","N","J31   Rinite nasofaringite e faringite cronicas","5","000","N","N"
4205,"J310",,"N","S","J31.0 Rinite cronica","5","000","N","N"
4206,"J311",,"N","S","J31.1 Nasofaringite cronica","5","000","N","N"
4207,"J312",,"N","S","J31.2 Faringite cronica","5","000","N","N"
4208,"J32",,"S","N","J32   Sinusite cronica","5","000","N","N"
4209,"J320",,"N","S","J32.0 Sinusite maxilar cronica","5","000","N","N"
4210,"J321",,"N","S","J32.1 Sinusite frontal cronica","5","000","N","N"
4211,"J322",,"N","S","J32.2 Sinusite etmoidal cronica","5","000","N","N"
4212,"J323",,"N","S","J32.3 Sinusite esfenoidal cronica","5","000","N","N"
4213,"J324",,"N","S","J32.4 Pansinusite cronica","5","000","N","N"
4214,"J328",,"N","S","J32.8 Outr sinusites cronicas","5","000","N","N"
4215,"J329",,"N","S","J32.9 Sinusite cronica NE","5","000","N","N"
4216,"J33",,"S","N","J33   Polipo nasal","5","000","N","N"
4217,"J330",,"N","S","J33.0 Polipo da cavidade nasal","5","000","N","N"
4218,"J331",,"N","S","J33.1 Degeneracao polipoide do seio paranasal","5","000","N","N"
4219,"J338",,"N","S","J33.8 Outr polipos do seio paranasal","5","000","N","N"
4220,"J339",,"N","S","J33.9 Polipo nasal NE","5","000","N","N"
4221,"J34",,"S","N","J34   Outr transt do nariz e dos seios paranasais","5","000","N","N"
4222,"J340",,"N","S","J34.0 Abscesso furunculo e carbunculo do nariz","5","000","N","N"
4223,"J341",,"N","S","J34.1 Cisto e mucocele de seio paranasal","5","000","N","N"
4224,"J342",,"N","S","J34.2 Desvio do septo nasal","5","000","N","N"
4225,"J343",,"N","S","J34.3 Hipertrofia dos cornetos nasais","5","000","N","N"
4226,"J348",,"N","S","J34.8 Outr transt espec nariz e seios paranasais","5","000","N","N"
4227,"J35",,"S","N","J35   Doenc cronicas das amigdalas e das adenoides","5","000","N","N"
4228,"J350",,"N","S","J35.0 Amigdalite cronica","5","000","N","N"
4229,"J351",,"N","S","J35.1 Hipertrofia das amigdalas","5","000","N","N"
4230,"J352",,"N","S","J35.2 Hipertrofia das adenoides","5","000","N","N"
4231,"J353",,"N","S","J35.3 Hipertrofia amigdalas c/hipertrof adenoides","5","000","N","N"
4232,"J358",,"N","S","J35.8 Outr doenc cronicas amigdalas e adenoides","5","000","N","N"
4233,"J359",,"N","S","J35.9 Doenc das amigdalas e das adenoides NE","5","000","N","N"
4234,"J36",,"S","S","J36   Abscesso periamigdaliano","5","000","N","N"
4235,"J37",,"S","N","J37   Laringite e laringotraqueite cronicas","5","000","N","N"
4236,"J370",,"N","S","J37.0 Laringite cronica","5","000","N","N"
4237,"J371",,"N","S","J37.1 Laringotraqueite cronica","5","000","N","N"
4238,"J38",,"S","N","J38   Doenc das cordas vocais e da laringe NCOP","5","000","N","N"
4239,"J380",,"N","S","J38.0 Paralisia das cordas vocais e da laringe","5","000","N","N"
4240,"J381",,"N","S","J38.1 Polipo das cordas vocais e da laringe","5","000","N","N"
4241,"J382",,"N","S","J38.2 Nodulos das cordas vocais","5","000","N","N"
4242,"J383",,"N","S","J38.3 Outr doenc das cordas vocais","5","000","N","N"
4243,"J384",,"N","S","J38.4 Edema da laringe","5","000","N","N"
4244,"J385",,"N","S","J38.5 Espasmo da laringe","5","000","N","N"
4245,"J386",,"N","S","J38.6 Estenose da laringe","5","000","N","N"
4246,"J387",,"N","S","J38.7 Outr doenc da laringe","5","000","N","N"
4247,"J39",,"S","N","J39   Outr doenc das vias aereas super","5","000","N","N"
4248,"J390",,"N","S","J39.0 Abscesso retrofaringeo e parafaringeo","5","000","N","N"
4249,"J391",,"N","S","J39.1 Outr abscessos da faringe","5","000","N","N"
4250,"J392",,"N","S","J39.2 Outr doenc da faringe","5","000","N","N"
4251,"J393",,"N","S","J39.3 Reacao hipersensib vias aereas super loc NE","5","000","N","N"
4252,"J398",,"N","S","J39.8 Outr doenc espec das vias aereas super","5","000","N","N"
4253,"J399",,"N","S","J39.9 Doenc NE das vias aereas super","5","000","N","N"
4254,"J40",,"S","S","J40   Bronquite NE como aguda ou cronica","5","000","N","N"
4255,"J41",,"S","N","J41   Bronquite cronica simples e a mucopurulenta","5","000","N","N"
4256,"J410",,"N","S","J41.0 Bronquite cronica simples","5","000","N","N"
4257,"J411",,"N","S","J41.1 Bronquite cronica mucopurulenta","5","000","N","N"
4258,"J418",,"N","S","J41.8 Bronquite cron mista simples e mucopurulenta","5","000","N","N"
4259,"J42",,"S","S","J42   Bronquite cronica NE","5","000","N","N"
4260,"J43",,"S","N","J43   Enfisema","5","000","N","N"
4261,"J430",,"N","S","J43.0 Sindr de MacLeod","5","000","N","N"
4262,"J431",,"N","S","J43.1 Enfisema panlobular","5","000","N","N"
4263,"J432",,"N","S","J43.2 Enfisema centrolobular","5","000","N","N"
4264,"J438",,"N","S","J43.8 Outr form de enfisema","5","000","N","N"
4265,"J439",,"N","S","J43.9 Enfisema NE","5","000","N","N"
4266,"J44",,"S","N","J44   Outr doenc pulmonares obstrutivas cronicas","5","000","N","N"
4267,"J440",,"N","S","J44.0 Doen pulm obs cron c/inf resp ag tr resp inf","5","000","N","N"
4268,"J441",,"N","S","J44.1 Doenc pulmonar obstr cron c/exacerb aguda NE","5","000","N","N"
4269,"J448",,"N","S","J44.8 Outr form espec doenc pulmonar obstrut cron","5","000","N","N"
4270,"J449",,"N","S","J44.9 Doenc pulmonar obstrutiva cronica NE","5","000","N","N"
4271,"J45",,"S","N","J45   Asma","5","000","N","N"
4272,"J450",,"N","S","J45.0 Asma predom alergica","5","000","N","N"
4273,"J451",,"N","S","J45.1 Asma nao-alergica","5","000","N","N"
4274,"J458",,"N","S","J45.8 Asma mista","5","000","N","N"
4275,"J459",,"N","S","J45.9 Asma NE","5","000","N","N"
4276,"J46",,"S","S","J46   Estado de mal asmatico","5","000","N","N"
4277,"J47",,"S","S","J47   Bronquectasia","5","000","N","N"
4278,"J60",,"S","S","J60   Pneumoconiose dos mineiros de carvao","5","000","N","N"
4279,"J61",,"S","S","J61   Pneumoconiose dev amianto outr fibr minerais","5","000","N","N"
4280,"J62",,"S","N","J62   Pneumoconiose dev poeira que cont silica","5","000","N","N"
4281,"J620",,"N","S","J62.0 Pneumoconiose dev po de talco","5","000","N","N"
4282,"J628",,"N","S","J62.8 Pneumoconiose dev outr poeiras q cont silica","5","000","N","N"
4283,"J63",,"S","N","J63   Pneumoconiose dev outr poeiras inorganicas","5","000","N","N"
4284,"J630",,"N","S","J63.0 Aluminose","5","000","N","N"
4285,"J631",,"N","S","J63.1 Fibrose causada p/bauxita","5","000","N","N"
4286,"J632",,"N","S","J63.2 Beriliose","5","000","N","N"
4287,"J633",,"N","S","J63.3 Fibrose causada p/grafite","5","000","N","N"
4288,"J634",,"N","S","J63.4 Siderose","5","000","N","N"
4289,"J635",,"N","S","J63.5 Estanose","5","000","N","N"
4290,"J638",,"N","S","J63.8 Pneumoconiose dev outr poeira inorg espec","5","000","N","N"
4291,"J64",,"S","S","J64   Pneumoconiose NE","5","000","N","N"
4292,"J65",,"S","S","J65   Pneumoconiose assoc c/tuberc","5","000","N","N"
4293,"J66",,"S","N","J66   Doenc das vias aereas dev poeiras org espec","5","000","N","N"
4294,"J660",,"N","S","J66.0 Bissinose","5","000","N","N"
4295,"J661",,"N","S","J66.1 Doenc dos cardadores de linho","5","000","N","N"
4296,"J662",,"N","S","J66.2 Canabinose","5","000","N","N"
4297,"J668",,"N","S","J66.8 Doenc vias aereas dev outr poeiras org espec","5","000","N","N"
4298,"J67",,"S","N","J67   Pneumonite hipersensibilid dev poeiras org","5","000","N","N"
4299,"J670",,"N","S","J67.0 Pulmao de fazendeiro","5","000","N","N"
4300,"J671",,"N","S","J67.1 Bagacose","5","000","N","N"
4301,"J672",,"N","S","J67.2 Pulmao dos criadores de passaros","5","000","N","N"
4302,"J673",,"N","S","J67.3 Suberose","5","000","N","N"
4303,"J674",,"N","S","J67.4 Pulmao dos trabalhadores do malte","5","000","N","N"
